Type,Start,End,Path Size,Num Explored,Time,Distance,Cost
Breadth First Search - Iterative,682,2483,38,1855,0.286324,-1,-1
Breadth First Search - Iterative,2483,1783,15,226,0.183812,-1,-1
Breadth First Search - Iterative,1783,1083,15,422,0.184054,-1,-1
Breadth First Search - Iterative,1083,383,15,422,0.23351,-1,-1
Breadth First Search - Iterative,383,2184,38,1566,0.186918,-1,-1
Breadth First Search - Iterative,2184,1484,15,358,0.184325,-1,-1
Breadth First Search - Iterative,1484,784,15,422,0.187342,-1,-1
Breadth First Search - Iterative,784,84,15,422,0.186641,-1,-1
Breadth First Search - Iterative,84,1885,38,1253,0.191914,-1,-1
Breadth First Search - Iterative,1885,1185,15,418,0.323034,-1,-1Breadth First Search - Iterative,2008,1308,15,348,0.193423,-1.000000000,-1.000000000
Breadth First Search - Iterative,2110,1410,15,348,0.195055,-1.000000000,-1.000000000
Breadth First Search - Iterative,812,112,15,413,0.195743,-1.000000000,-1.000000000
Breadth First Search - Iterative,1118,418,15,422,0.188780,-1.000000000,-1.000000000
Breadth First Search - Iterative,1322,622,15,422,0.199329,-1.000000000,-1.000000000
Breadth First Search - Iterative,1765,1065,15,422,0.196290,-1.000000000,-1.000000000
Breadth First Search - Iterative,1399,699,15,253,0.293110,-1.000000000,-1.000000000
Breadth First Search - Iterative,699,2500,38,1194,0.407205,-1.000000000,-1.000000000
Breadth First Search - Iterative,2500,1800,15,121,0.349115,-1.000000000,-1.000000000
Breadth First Search - Iterative,1800,1100,15,226,0.266777,-1.000000000,-1.000000000
Breadth First Search - Iterative,1100,400,15,226,0.241757,-1.000000000,-1.000000000
Breadth First Search - Iterative,400,2201,87,2481,0.259895,-1.000000000,-1.000000000
Breadth First Search - Iterative,2201,1501,15,181,0.284901,-1.000000000,-1.000000000
Breadth First Search - Iterative,1501,801,15,226,0.378114,-1.000000000,-1.000000000
Breadth First Search - Iterative,801,101,15,226,0.423851,-1.000000000,-1.000000000
Breadth First Search - Iterative,101,1902,38,814,0.392271,-1.000000000,-1.000000000
Depth First Search - Iterative,389,2190,54,2406,0.236462,-1.000000000,-1.000000000
Depth First Search - Iterative,2190,1490,15,15,0.190104,-1.000000000,-1.000000000
Depth First Search - Iterative,1490,790,15,15,0.199142,-1.000000000,-1.000000000
Depth First Search - Iterative,790,90,15,15,0.347382,-1.000000000,-1.000000000
Depth First Search - Iterative,90,1891,42,2425,0.377447,-1.000000000,-1.000000000
Depth First Search - Iterative,1891,1191,15,15,0.241616,-1.000000000,-1.000000000
Depth First Search - Iterative,1191,491,15,15,0.234349,-1.000000000,-1.000000000
Depth First Search - Iterative,491,2292,58,2400,0.371210,-1.000000000,-1.000000000
Depth First Search - Iterative,2292,1592,15,15,0.255864,-1.000000000,-1.000000000
Depth First Search - Iterative,1592,892,15,15,0.371472,-1.000000000,-1.000000000
